"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Average Pageviews","hs_analytics_average_page_views","number","The average number of pages a contact sees. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"First Referring Site","hs_analytics_first_referrer","string","The first website that referred a contact to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (2); Automation platform flow (28); Sales view (4)","38.06%"
"Time First Seen","hs_analytics_first_timestamp","datetime","The first time a contact has been seen. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"First Touch Converting Campaign","hs_analytics_first_touch_converting_campaign","string","The campaign responsible for the first touch creation of this contact","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","","0.7%"
"First Page Seen","hs_analytics_first_url","string","The first page a contact saw on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.15%"
"Time of First Session","hs_analytics_first_visit_timestamp","datetime","The first time a contact visited your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Last Referring Site","hs_analytics_last_referrer","string","The last website that referred a contact to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","48.36%"
"Time Last Seen","hs_analytics_last_timestamp","datetime","The last time and date a contact has viewed a page on your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Last Touch Converting Campaign","hs_analytics_last_touch_converting_campaign","string","The campaign responsible for the last touch creation of this contact","analyticsinformation","false","","true","true","false","true","false","true","HubSpot","","1.07%"
"Last Page Seen","hs_analytics_last_url","string","The last page a contact saw on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","55.25%"
"Time of Last Session","hs_analytics_last_visit_timestamp","datetime","The last time and date a contact visited your website.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Report (1)","55.75%"
"Number of event completions","hs_analytics_num_event_completions","number","The sum of all events a contact has experienced. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Number of Pageviews","hs_analytics_num_page_views","number","The sum of all pages a contact has seen on your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Number of Sessions","hs_analytics_num_visits","number","The sum of all sessions a contact has made to your website. This is automatically set by HubSpot for each contact.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Report (1)","100%"
"Event Revenue","hs_analytics_revenue","number","Event revenue can be set on a contact though HubSpot's enterprise Events. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%"
"Original Source","hs_analytics_source","enumeration","First known source the contact used to find your website. Set automatically, but may be updated manually.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Inbounddb lists (1); Automation platform flow (19); Report (2); Sales view (8)","100%"
"Original Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the source through which a contact first found your website. This property is automatically set by HubSpot.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (2); Automation platform flow (19); Sales view (9)","100%"
"Original Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the source through which a contact first found your website. This property is automatically set by HubSpot.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (3); Automation platform flow (16); Sales view (9)","85.38%"
"Latest Traffic Source","hs_latest_source","enumeration","The source of the latest session for a contact","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL); AI Referrals (AI_REFERRALS)","false","true","false","false","false","true","HubSpot","Automation platform flow (1); Sales view (4)","100%"
"Latest Traffic Source Drill-Down 1","hs_latest_source_data_1","string","Additional information about the latest source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Automation platform flow (1); Sales view (4)","100%"
"Latest Traffic Source Drill-Down 2","hs_latest_source_data_2","string","Additional information about the source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Sales view (4)","79.46%"
"Latest Traffic Source Date","hs_latest_source_timestamp","datetime","The time of the latest session for a contact","analyticsinformation","false","","false","true","false","false","false","true","HubSpot","Sales view (4)","100%"
"Street Address","address","string","A contact's street address, including apartment or unit #","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (4)","28.43%"
"Agree to terms","agree_to_terms","enumeration","I agree to the terms and conditions of the services agreement.","contactinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Daniel West","Automation platform flow (1)","0%"
"Alternative Email","alternative_email","string","Other Email","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0.17%"
"Alternative Phone Number","alternative_phone_number","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0.13%"
"Annual Revenue","annualrevenue","string","Annual company revenue","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0%"
"AuctionMethod Blog Email Subscription","blog_default_hubspot_blog_subscription","enumeration","","contactinformation","true","Instant (instant); Daily (daily); Weekly (weekly); Monthly (monthly)","false","false","false","false","false","false","Unknown user","Form (1); Inbounddb lists (4)","35.85%"
"Business Legal Name","business_legal_name","string","Legal name of business","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Buying Timeline","buying_timeline","enumeration","Indicates the expected buying timeline or urgency for this contact, helping the sales team prioritize leads and forecast deal closure timing based on need.","contactinformation","true","Immediate Need - Within 30 Days (immediate_need__within_30_days); Emergency Replacement - ASAP (emergency_replacement__asap); Short Term - 1-3 Months (short_term__13_months); Medium Term - 3-6 Months (medium_term__36_months); Long Term - 6-12 Months (long_term__612_months); Future Planning - 12+ Months (future_planning__12_months); Evaluating Options - No Set Timeline (evaluating_options__no_set_timeline)","false","false","false","false","false","false","Daniel West","Properties v3 card (2)","0.13%"
"Card CVV","card_cvv","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Expiry Date1","card_expiry_date1","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Expiry Date2","card_expiry_date2","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","","0%"
"Card Number","card_number","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (4)","0%"
"City","city","string","A contact's city of residence","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (37); Email (2); Layout (1)","32.54%"
"Close Date","closedate","datetime","The date that a contact became a customer. This property is set automatically by HubSpot when a deal or opportunity is marked as closed-won. It can also be set manually or programmatically.","contactinformation","false","","false","true","false","false","false","true","HubSpot","","6.45%"
"Company Name","company","string","The name of the contact's company. This is separate from the Name property of the contact's associated company and can be set independently.","contactinformation","true","","false","true","false","false","false","true","HubSpot","Form (18); Inbounddb lists (1); Automation platform flow (2); Object requirement (1); Email (2); Layout (1); Sales view (16)","79.93%"
"Company size","company_size","string","A contact's company size. This property is required for the Facebook Ads Integration. This property will be automatically synced via the Lead Ads tool","contactinformation","true","","false","false","false","false","false","true","HubSpot","","0.07%"
"Company Website URL","company_website_url","string","","contactinformation","true","","false","false","false","false","false","false","Unknown user","Form (1); Bot (1); Automation platform flow (2)","0.87%"
"Competitor Products","competitor_products","enumeration","Tracks which competitor platforms or solutions a prospect is currently using or considering, enabling the sales team to assess the competitive landscape and tailor messaging for AuctionMethod's unique advantages.","contactinformation","true","LiveAuctioneers (liveauctioneers); Invaluable (invaluable); Hibid (hibid); BidSpotter (bidspotter); Proxibid (proxibid); AuctionTime (auctiontime); K-BID (kbid); BidCorp (bidcorp); EstateSales.NET (estatesalesnet); AuctionZip (auctionzip); AuctionFlex (auctionflex); MaxaNet (maxanet); Bidsquare (bidsquare); Facebook (facebook); Existing AuctionMethod Site (existing_auctionmethod_site); Legacy/Custom In-House System (legacycustom_inhouse_system); Traditional In-Person Only (traditional_inperson_only); Currently Evaluating Multiple Options (currently_evaluating_multiple_options)","false","false","false","false","false","false","Daniel West","Properties v3 card (2)","0.7%"
"Country/Region","country","string","The contact's country/region of residence. This might be set via import, form, or integration.","contactinformation","true","","false","false","false","false","false","true","HubSpot","Form (2); Sales view (1)","29.03%"
